[2024-03-31 22:42:27] 1 Stepping down
[2024-03-31 22:42:27] Vote granted for Node 0 in term 1.
[2024-03-31 22:42:32] Node 1 election timeout. Starting new election.
[2024-03-31 22:43:06] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:07] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:08] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:09] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:10] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:11] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:12] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:13] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:14] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:15] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:16] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:17] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:18] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:19] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:20] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:21] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:22] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:23] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:24] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:25] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:26] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:27] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:28] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:29] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:30] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:31] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:32] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:33] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:34] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:35] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:36] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:37] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:38] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:39] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:40] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:41] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:42] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:43] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:44] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:45] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:46] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:47] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:48] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:49] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:50] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:51] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:52] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:53] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:54] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:55] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:56] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:57] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:58] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:59] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:00] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:01] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:02] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:03] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:04] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:05] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:06] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:07] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:08] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:09] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:10] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:12] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:13] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:14] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:15] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:16] Node 1 (follower) committed the entry SET x 0 to the state machine.
[2024-03-31 22:44:16] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:17] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:18] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:19] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:20] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:21] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:22] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:23] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:24] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:25] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:26] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:27] Node 1 (follower) committed the entry SET y 45 to the state machine.
[2024-03-31 22:44:27] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:28] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:29] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:30] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:31] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:32] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:33] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:34] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:35] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:36] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:37] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:44:38] Node 1 accepted AppendEntries RPC from 0.
